,matchid,teamid,firstblood,firsttower,firstinhib,firstbaron,firstdragon,firstharry,towerkills,inhibkills,baronkills,dragonkills,harrykills
267475,137235,200,1,1,1,0,1,0,8,1,0,2,0
267476,137236,100,0,0,0,0,0,0,1,0,0,0,0
267477,137236,200,1,1,1,1,1,0,10,1,1,4,0
267478,137237,100,0,0,0,0,1,0,5,0,0,2,0
267479,137237,200,1,1,1,1,0,0,10,2,1,2,0
267480,137238,100,0,0,0,0,1,0,2,0,0,1,0
267481,137238,200,1,1,1,1,0,0,10,3,1,3,0
267482,137239,100,1,0,1,1,1,1,11,4,1,2,1
267483,137239,200,0,1,0,0,0,0,2,0,0,0,0
267484,137240,100,0,1,1,0,0,0,8,1,0,3,0
267485,137240,200,1,0,0,1,1,0,3,0,1,1,0
267486,137241,100,0,0,0,0,0,0,1,0,0,0,0
267487,137241,200,1,1,1,1,1,0,10,2,1,3,0
267488,137242,100,1,1,1,0,1,0,10,2,0,4,0
267489,137242,200,0,0,0,0,0,0,0,0,0,0,0
267490,137243,100,0,0,1,1,1,0,11,3,1,4,0
267491,137243,200,1,1,0,0,0,0,3,0,0,0,0
267492,137244,100,1,1,0,0,1,0,4,0,0,1,0
267493,137244,200,0,0,1,1,0,0,8,2,1,2,0
267494,137245,100,0,0,0,0,0,0,0,0,0,0,0
267495,137245,200,0,0,0,0,0,0,0,0,0,0,0
267496,137246,100,0,1,0,0,0,0,2,0,0,3,0
267497,137246,200,1,0,1,1,1,0,11,5,2,1,0
267498,137247,100,1,0,0,0,0,0,4,0,0,0,0
267499,137247,200,0,1,1,1,1,0,10,2,1,3,0
267500,137248,100,0,0,1,1,1,0,8,1,1,3,0
267501,137248,200,1,1,0,0,0,0,5,0,0,1,0
267502,137249,100,0,0,0,1,1,0,10,4,2,3,0
267503,137249,200,1,1,1,0,0,0,7,2,0,3,0
267504,137250,100,1,1,0,0,1,0,6,0,0,4,0
267505,137250,200,0,0,1,1,0,0,8,1,2,2,0
267506,137251,100,0,0,0,0,0,0,0,0,0,0,0
267507,137251,200,1,1,1,0,1,0,10,3,0,2,0
267508,137252,100,0,0,0,0,0,0,1,0,0,0,0
267509,137252,200,1,1,1,0,1,0,8,1,0,2,0
267510,137253,100,0,1,0,0,0,0,6,0,0,2,0
267511,137253,200,1,0,1,1,1,0,11,4,1,2,0
267512,137254,100,1,0,0,0,0,0,1,0,0,0,0
267513,137254,200,0,1,1,1,1,0,10,1,1,4,0
267514,137255,100,1,1,0,1,1,0,6,0,1,2,0
267515,137255,200,0,0,1,0,0,0,6,1,1,1,0
267516,137256,100,1,0,0,0,1,0,4,0,0,1,0
267517,137256,200,0,1,1,1,0,0,10,2,1,2,0
267518,137257,100,1,0,0,0,0,0,0,0,0,0,0
267519,137257,200,0,0,0,0,0,0,0,0,0,0,0
267520,137258,100,0,1,0,0,1,0,3,0,0,2,0
267521,137258,200,1,0,0,0,0,0,0,0,0,0,0
267522,137259,100,1,0,0,0,0,0,2,0,0,1,0
267523,137259,200,0,1,1,1,1,1,11,2,1,2,1
267524,137260,100,1,0,0,0,0,0,2,0,2,0,0
267525,137260,200,0,1,1,1,1,0,11,6,1,5,0
