,id,gameid,platformid,queueid,seasonid,duration,creation,version
138240,141752,2473516078,NA1,420,8,823,1492046466429,7.7.182.1428
138241,141753,2472667756,NA1,420,8,2407,1491959589033,7.7.182.1428
138242,141754,2472670792,NA1,420,8,2086,1491956686425,7.7.182.1428
138243,141755,2472160335,NA1,420,8,3239,1491873184754,7.7.182.1428
138244,141756,2451081686,NA1,420,8,1390,1489543475794,7.5.178.6844
138245,141757,2451027372,NA1,420,8,1331,1489541424635,7.5.178.6844
138246,141758,2447584269,NA1,420,8,1530,1489205880813,7.5.178.6844
138247,141759,2447570094,NA1,420,8,1287,1489203934352,7.5.178.6844
138248,141760,2440694650,NA1,440,8,2398,1488508510459,7.4.178.5050
138249,141761,2440658770,NA1,440,8,1651,1488506054097,7.4.178.5050
138250,141762,2439406454,NA1,420,8,2139,1488341154571,7.4.176.9828
138251,141763,2439370513,NA1,420,8,1911,1488338216880,7.4.176.9828
138252,141764,2439333232,NA1,420,8,2364,1488335262524,7.4.176.9828
138253,141765,2437717059,NA1,420,8,1994,1488168647526,7.4.176.9828
138254,141766,2437712353,NA1,420,8,2181,1488165979882,7.4.176.9828
138255,141767,2437327193,NA1,420,8,1559,1488146459594,7.4.176.9828
138256,141768,2437326052,NA1,420,8,196,1488145749687,7.4.176.9828
138257,141769,2434282551,NA1,440,8,1868,1487907977704,7.4.176.9828
138258,141770,2434257019,NA1,440,8,1436,1487905926403,7.4.176.9828
138259,141771,2434178772,NA1,440,8,2723,1487902548256,7.4.176.9828
138260,141772,2433241220,NA1,440,8,1796,1487820736960,7.3.175.271
138261,141773,2433130165,NA1,420,8,2319,1487816680555,7.3.175.271
138262,141774,2432454678,NA1,440,8,2067,1487730637513,7.3.175.271
138263,141775,2430171596,NA1,440,8,1257,1487536205944,7.3.175.271
138264,141776,2429370817,NA1,440,8,2271,1487470682494,7.3.175.271
138265,141777,2429016135,NA1,440,8,1597,1487444050752,7.3.175.271
138266,141778,2428972578,NA1,440,8,1364,1487437524677,7.3.175.271
138267,141779,2427275354,NA1,440,8,1776,1487297726251,7.3.175.271
138268,141780,2426488884,NA1,420,8,1804,1487218903309,7.3.175.271
138269,141781,2426428742,NA1,420,8,2463,1487215089470,7.3.175.271
138270,141782,2426420545,NA1,420,8,2430,1487212066936,7.3.175.271
138271,141783,2426382570,NA1,420,8,1410,1487209292306,7.3.175.271
138272,141784,2424756422,NA1,440,8,1636,1487042534255,7.3.175.271
138273,141785,2423414558,NA1,440,8,1225,1486929043008,7.3.175.271
138274,141786,2421889877,NA1,9,8,1894,1486789610185,7.3.175.271
138275,141787,2421798371,NA1,9,8,2214,1486786688126,7.3.175.271
138276,141788,2421755246,NA1,9,8,1009,1486784932326,7.3.175.271
138277,141789,2421716751,NA1,9,8,1384,1486783120462,7.3.175.271
138278,141790,2420710754,NA1,440,8,2639,1486693811661,7.3.175.271
138279,141791,2420690712,NA1,440,8,1915,1486691284729,7.3.175.271
138280,141792,2419058832,NA1,420,8,2792,1486522718089,7.2.174.829
138281,141793,2419031923,NA1,420,8,1997,1486518902445,7.2.174.829
138282,141794,2415906442,NA1,420,8,2124,1486183187227,7.2.174.829
138283,141795,2415891696,NA1,420,8,1698,1486181017263,7.2.174.829
138284,141796,2415178560,NA1,440,8,1816,1486093006829,7.2.174.829
138285,141797,2415181509,NA1,440,8,2112,1486090481750,7.2.174.829
138286,141798,2415014058,NA1,440,8,2020,1486087033317,7.2.174.829
138287,141799,2411331434,NA1,420,8,1892,1485661266665,7.2.174.829
138288,141800,2411265712,NA1,420,8,1798,1485658905636,7.2.174.829
138289,141801,2410297068,NA1,420,8,1505,1485578426370,7.2.174.829
138290,141802,2410295418,NA1,420,8,193,1485577670174,7.2.174.829
